"filename", "language", "JavaScript", "JSON", "HTML", "JSON with Comments", "Vue", "Markdown", "CSS", "XML", "YAML", "comment", "blank", "total"
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\navbar\NavBarMenuList.vue", "Vue", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\pill_tag\PillTag.vue", "Vue", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\pill_tag\PillTagPlain.vue", "Vue", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\pill_tag\PillTagTrend.vue", "Vue", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 7, 49
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\pill_tag\TagContainer.vue", "Vue", 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 18, 93
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\section\SectionBanner.vue", "Vue", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\section\SectionBannerStarOnGitHub.vue", "Vue", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\section\SectionFullScreen.vue", "Vue", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 6, 35
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\section\SectionMain.vue", "Vue", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\section\SectionTitle.vue", "Vue", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\section\SectionTitleLineWithButton.vue", "Vue", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\table\TableBase.vue", "Vue", 0, 0, 0, 0, 136, 0, 0, 0, 0, 3, 29, 168
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\table\TableCheckboxCell.vue", "Vue", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\table\TableDailySales.vue", "Vue", 0, 0, 0, 0, 124, 0, 0, 0, 0, 1, 26, 151
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\user\UserAvatar.vue", "Vue", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"c:\Users\ktemi\code\dabo_bet\vue_admin\admin-one-vue-tailwind\src\components\user\UserAvatarCurrentUser.vue", "Vue", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
